"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	-8.377254009E-3	-1.027226448E-2	3.545761108E-3	1.372115972E-2
2.164625000E-2	-2.391755581E-3	7.684230804E-3	2.748775482E-2	2.864165782E-2
3.757537500E-2	-9.574413300E-3	1.726102829E-2	4.424667358E-2	4.844977411E-2
5.050693700E-2	8.490085602E-4	-3.112554550E-3	-1.061630249E-2	1.109570592E-2
6.197471800E-2	9.640455246E-4	-3.162384033E-3	-1.158142090E-2	1.204405939E-2
7.261960900E-2	2.762496471E-3	-9.387016296E-3	-3.393840790E-2	3.532085775E-2
8.297555400E-2	-2.366900444E-3	8.833169937E-3	3.244209290E-2	3.370632730E-2
9.311052700E-2	-1.111495495E-2	4.226016998E-2	1.591815948E-1	1.650704223E-1
1.032255130E-1	-9.572982788E-3	3.325891495E-2	1.247844696E-1	1.294950241E-1
1.132940060E-1	-1.690804958E-3	5.860805511E-3	2.189731598E-2	2.273104287E-2
1.232957530E-1	-2.525448799E-3	9.161472321E-3	3.419208527E-2	3.548815523E-2
1.332876260E-1	-3.288388252E-4	1.180887222E-3	3.897666931E-3	4.085882660E-3
1.433190630E-1	4.207849503E-3	-1.536512375E-2	-5.537033081E-2	5.761654762E-2
1.533167810E-1	8.494317532E-3	-3.651976585E-2	-1.612215042E-1	1.655240772E-1
1.633331400E-1	1.422798634E-2	-4.939007759E-2	-1.777791977E-1	1.850601483E-1
1.733973200E-1	8.611917496E-3	-2.804303169E-2	-1.010913849E-1	1.052617920E-1
1.834094100E-1	5.118250847E-4	-1.336097717E-3	-5.222320557E-3	5.414771835E-3
1.934439550E-1	-6.306290627E-3	2.137684822E-2	7.885932922E-2	8.194835414E-2
2.034372270E-1	-7.185161114E-3	2.467918396E-2	9.171009064E-2	9.524405171E-2
2.134513630E-1	-7.259964943E-3	2.547717094E-2	9.410762787E-2	9.776522364E-2
2.234699310E-1	-4.242241383E-3	1.458764076E-2	5.364227295E-2	5.575203424E-2
2.333482150E-1	2.546012402E-3	-8.218765259E-3	-2.936077118E-2	3.059550891E-2
2.434203570E-1	1.091152430E-2	-3.432941437E-2	-1.245241165E-1	1.296295709E-1
2.533849280E-1	1.662725210E-2	-5.126094818E-2	-1.876239777E-1	1.952099058E-1
2.634107140E-1	1.129144430E-2	-4.001665115E-2	-1.439123154E-1	1.497984766E-1
2.734221070E-1	6.888985634E-3	-2.503490448E-2	-9.073257446E-2	9.437480932E-2
2.834293030E-1	-1.045584679E-3	3.825902939E-3	1.418685913E-2	1.473084358E-2
2.934389010E-1	-4.670739174E-3	1.822257042E-2	6.777095795E-2	7.033335353E-2
3.034532000E-1	-5.093157291E-3	1.893949509E-2	7.053661346E-2	7.321242083E-2
3.134373500E-1	-5.473196507E-3	2.140617371E-2	8.105564117E-2	8.401307707E-2
3.233324250E-1	-5.144178867E-3	2.133846283E-2	8.012580872E-2	8.307790196E-2
3.333299620E-1	-2.233028412E-3	8.936166763E-3	3.357315063E-2	3.481376073E-2
3.433707310E-1	1.343786716E-3	-5.300760269E-3	-1.986408234E-2	2.060304806E-2
3.533071150E-1	2.559363842E-3	-9.470224380E-3	-3.487682343E-2	3.623021260E-2
3.632813070E-1	1.953661442E-3	-6.948947906E-3	-2.463531494E-2	2.567106177E-2
3.733214030E-1	-2.336502075E-4	2.588033676E-3	9.086608887E-3	9.450871483E-3
3.833054510E-1	4.049658775E-3	-1.399469376E-2	-4.879570007E-2	5.092417437E-2
3.932629750E-1	1.185584068E-2	-3.933858871E-2	-1.357631683E-1	1.418440108E-1
4.032462370E-1	1.252061129E-2	-3.987336159E-2	-1.386690140E-1	1.448300594E-1
4.132878680E-1	1.263290644E-2	-4.034519196E-2	-1.417284012E-1	1.478995083E-1
4.232981840E-1	4.516482353E-3	-1.429009438E-2	-5.105400085E-2	5.320823633E-2
4.333853420E-1	-1.257687807E-2	4.657506943E-2	1.670722961E-1	1.738981515E-1
4.433714210E-1	-3.036379814E-2	1.050105095E-1	3.958568573E-1	4.106723984E-1
4.533629600E-1	-7.416033745E-2	2.071173191E-1	7.806491852E-1	8.110551707E-1
4.633872300E-1	-3.437829018E-2	1.150317192E-1	4.006814957E-1	4.182819913E-1
4.734198650E-1	1.670217514E-2	-6.717514992E-2	-2.046899796E-1	2.160774193E-1
4.833981820E-1	6.354981661E-2	-1.805450916E-1	-6.350564957E-1	6.632735951E-1
4.933488410E-1	6.139302254E-2	-1.665463448E-1	-5.589084625E-1	5.864174773E-1
5.033241700E-1	4.913926125E-3	-1.051759720E-2	-3.589534760E-2	3.772588634E-2
5.133503350E-1	-7.897400856E-2	1.686077118E-1	5.908498764E-1	6.194909450E-1
5.233249170E-1	-7.018393278E-2	1.860394478E-1	6.693611145E-1	6.982698348E-1
5.333747080E-1	-4.421794415E-2	1.331610680E-1	4.885959625E-1	5.083434973E-1
5.433216040E-1	-4.494166374E-2	1.730921268E-1	6.420907974E-1	6.665292414E-1
5.533590520E-1	-3.187108040E-2	1.026628017E-1	3.745727539E-1	3.896923974E-1
5.633347760E-1	-7.213354111E-3	1.873588562E-2	6.585216522E-2	6.884456080E-2
5.733021380E-1	3.561031818E-2	-7.864522934E-2	-2.676534653E-1	2.812321894E-1
5.834663190E-1	2.809083462E-2	-6.912136078E-2	-2.379293442E-1	2.493536251E-1
5.933559090E-1	-1.910561323E-2	5.953717232E-2	2.265605927E-1	2.350306395E-1
6.033442040E-1	-2.493107319E-2	9.602856636E-2	3.746643066E-1	3.875775879E-1
6.133448520E-1	-2.701881528E-2	1.394731998E-1	5.470619202E-1	5.652075144E-1
6.233236760E-1	-2.099984884E-2	8.765864372E-2	3.529386520E-1	3.642673792E-1
6.333340880E-1	-6.010711193E-3	3.047013283E-2	1.122140884E-1	1.164326384E-1
6.433997940E-1	2.010345459E-2	-9.146547318E-2	-3.365554810E-1	3.493417717E-1
6.533191470E-1	3.043654561E-2	-2.021982670E-1	-7.391233444E-1	7.668858069E-1
6.632823230E-1	-4.531341791E-2	-2.435988188E-1	-1.133796692E0	1.160555311E0
6.733454110E-1	5.670525134E-3	-1.397502422E-1	-4.925937653E-1	5.120653304E-1
6.833229550E-1	-7.849460840E-2	2.228889465E-1	7.678298950E-1	8.033701723E-1
6.933662270E-1	-7.831132412E-2	2.011520863E-1	7.078208923E-1	7.400035412E-1
7.033388630E-1	5.087971687E-3	-1.896572113E-2	-6.921100616E-2	7.194268141E-2
7.133386810E-1	1.107683778E-2	-7.805085182E-2	-3.081445694E-1	3.180687150E-1
7.233175900E-1	-9.881258011E-4	1.571965218E-2	6.263351440E-2	6.458359686E-2
7.332985450E-1	-9.671956301E-3	1.335504055E-1	5.505838394E-1	5.666319985E-1
7.433060220E-1	4.209607840E-3	1.072804928E-1	4.624118805E-1	4.747120940E-1
7.532847610E-1	9.839773178E-3	1.802206039E-2	8.386039734E-2	8.633760501E-2
7.632861300E-1	-9.193152189E-3	5.939054489E-2	2.110290527E-1	2.194197165E-1
7.732638150E-1	-1.587638855E-1	2.917182446E-1	1.035110474E0	1.087087484E0
7.832726570E-1	-1.294262409E-1	1.864852905E-1	6.528568268E-1	6.911945831E-1
7.933035780E-1	2.784180641E-2	-4.977750778E-2	-1.558752060E-1	1.659820662E-1
8.032880390E-1	1.461899281E-1	-2.897369862E-1	-8.909854889E-1	9.482479410E-1
8.132877690E-1	2.135050297E-2	-1.162006855E-1	-3.787889481E-1	3.967864797E-1
