"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-1.032362925E-3,-1.179580484E-2,1.331683248E-3,1.191554301E-2
1.020700000E-2,-1.643228112E-3,-6.298017688E-3,7.208194584E-4,6.548649183E-3
2.010000000E-2,-1.643228112E-3,-8.002296090E-4,7.208194584E-4,1.964725616E-3
2.995100000E-2,-2.254093299E-3,7.141018286E-3,-5.009118468E-4,7.505064386E-3
3.994900000E-2,-1.032362925E-3,1.630399749E-2,-1.111777499E-3,1.637443607E-2
4.962100000E-2,-1.032362925E-3,2.607784048E-2,-2.944372594E-3,2.626383192E-2
5.966100000E-2,-1.032362925E-3,3.340822458E-2,-2.944372594E-3,3.355360745E-2
6.968700000E-2,-4.214975052E-4,3.829514608E-2,-3.555238247E-3,3.846213193E-2
7.957900000E-2,-4.214975052E-4,3.829514608E-2,-2.944372594E-3,3.841048299E-2
8.974500000E-2,-4.214975052E-4,3.462995589E-2,-3.555238247E-3,3.481452605E-2
9.958900000E-2,-4.214975052E-4,2.668870613E-2,-2.944372594E-3,2.685393872E-2
1.097040000E-1,-4.214975052E-4,1.691486314E-2,-1.111777499E-3,1.695660061E-2
1.198340000E-1,1.893676817E-4,5.919287913E-3,-1.722643152E-3,6.167765312E-3
1.297120000E-1,1.893676817E-4,-7.519747131E-3,-5.009118468E-4,7.538790998E-3
1.401900000E-1,1.893676817E-4,-1.973705366E-2,1.942548901E-3,1.983332155E-2
1.499510000E-1,8.002328686E-4,-2.828916535E-2,1.331683248E-3,2.833179537E-2
1.601710000E-1,1.893676817E-4,-3.256522119E-2,1.942548901E-3,3.262365687E-2
1.698210000E-1,1.411098172E-3,-3.623041138E-2,1.942548901E-3,3.630988024E-2
1.796170000E-1,1.411098172E-3,-4.417166114E-2,3.164280206E-3,4.430733026E-2
1.896450000E-1,1.411098172E-3,-5.150204152E-2,3.775143996E-3,5.165949275E-2
1.999180000E-1,1.411098172E-3,-5.761069804E-2,3.775143996E-3,5.775149729E-2
2.096540000E-1,1.893676817E-4,-6.433021277E-2,4.996875301E-3,6.452426596E-2
2.196420000E-1,-4.214975052E-4,-7.715838403E-2,6.218606606E-3,7.740972131E-2
2.297690000E-1,-4.214975052E-4,-8.021271229E-2,5.607740954E-3,8.040959912E-2
2.396510000E-1,-1.643228112E-3,-8.021271229E-2,6.829470396E-3,8.051969372E-2
2.497690000E-1,-1.032362925E-3,-7.410405576E-2,6.829470396E-3,7.442525458E-2
2.599580000E-1,-1.032362925E-3,-6.371934712E-2,4.996875301E-3,6.392331134E-2
2.697100000E-1,-4.214975052E-4,-5.089117959E-2,3.775143996E-3,5.103274961E-2
2.796880000E-1,1.893676817E-4,-3.378695250E-2,3.164280206E-3,3.393533097E-2
2.897270000E-1,1.893676817E-4,-2.034791559E-2,1.331683248E-3,2.039232476E-2
2.996820000E-1,-1.032362925E-3,-1.057407353E-2,1.331683248E-3,1.070748264E-2
3.098070000E-1,-1.032362925E-3,-3.854556009E-3,7.208194584E-4,4.054991483E-3
