timestamp,X,Y,Z
1568654722818,0.070629,2.200271,9.482236
1568654722827,0.045490,2.197877,9.414001
1568654722837,0.040701,2.209848,9.428367
1568654722846,0.049081,2.205060,9.485827
1568654722856,0.067038,2.191892,9.538500
1568654722866,0.079009,2.197877,9.587581
1568654722875,0.102951,2.205060,9.594764
1568654722884,0.106542,2.194286,9.542090
1568654722894,0.111330,2.191892,9.497798
1568654722903,0.104148,2.202666,9.509769
1568654722912,0.089783,2.205060,9.513360
1568654722921,0.068235,2.200271,9.544485
1568654722931,0.075417,2.199074,9.562442
1568654722940,0.073023,2.199074,9.566033
1568654722950,0.074220,2.187103,9.545682
1568654722959,0.064643,2.184709,9.534908
1568654722969,0.065841,2.188300,9.526528
1568654722978,0.065841,2.187103,9.520543
1568654722988,0.067038,2.188300,9.540894
1568654722998,0.077812,2.187103,9.552865
1568654723008,0.070629,2.190695,9.556456
1568654723018,0.077812,2.194286,9.543288
1568654723027,0.082600,2.202666,9.545682
1568654723036,0.079009,2.205060,9.539697
1568654723045,0.077812,2.201468,9.532514
1568654723055,0.071826,2.200271,9.538500
1568654723064,0.076614,2.190695,9.549273
1568654723074,0.083797,2.188300,9.528923
1568654723083,0.089783,2.187103,9.536105
1568654723093,0.084994,2.183512,9.538500
1568654723102,0.067038,2.176329,9.536105
1568654723111,0.063446,2.188300,9.540894
1568654723121,0.083797,2.201468,9.562442
1568654723130,0.126893,2.206257,9.546879
1568654723139,0.143652,2.214637,9.524135
1568654723149,0.156820,2.212242,9.519346
1568654723158,0.164003,2.202666,9.518148
1568654723168,0.159214,2.202666,9.544485
1568654723178,0.128090,2.195483,9.557653
1568654723187,0.098162,2.178724,9.551667
1568654723196,0.086191,2.173935,9.551667
1568654723206,0.073023,2.163161,9.569624
1568654723215,0.053870,2.169147,9.563639
1568654723225,0.049081,2.182315,9.557653
1568654723235,0.057461,2.183512,9.532514
1568654723244,0.021548,2.176329,9.554062
1568654723254,0.052672,2.196680,9.567230
1568654723263,0.081403,2.175132,9.588778
1568654723273,0.111330,2.177526,9.544485
1568654723282,0.118513,2.179921,9.522937
1568654723291,0.150835,2.182315,9.513360
1568654723301,0.169988,2.178724,9.502586
1568654723310,0.146046,2.177526,9.522937
1568654723319,0.117316,2.188300,9.545682
1568654723328,0.117316,2.185906,9.514558
1568654723338,0.169988,2.194286,9.509769
1568654723348,0.244209,2.207454,9.502586
1568654723357,0.313640,2.217031,9.473856
1568654723366,0.280122,2.191892,9.437943
1568654723376,0.266953,2.179921,9.464279
1568654723385,0.293290,2.199074,9.487024
1568654723395,0.342371,2.297236,9.539697
1568654723405,0.391452,2.449268,9.640253
1568654723414,0.410606,2.539051,9.724051
1568654723424,0.369904,2.643199,9.776723
1568654723433,0.305261,2.766500,9.803059
1568654723443,0.269348,2.834735,9.800665
1568654723452,0.271742,2.844312,9.770737
1568654723462,0.204704,2.743755,9.713276
1568654723471,0.246603,2.658761,9.792285
1568654723480,0.345962,2.594118,10.058042
1568654723490,0.429759,2.515109,10.315418
1568654723499,0.487220,2.412158,10.454282
1568654723508,0.565032,2.296039,10.566810
1568654723518,0.671574,2.171541,10.704475
1568654723527,0.746991,2.025495,10.822989
1568654723537,0.752976,1.879448,10.866084
1568654723547,0.721852,1.807622,10.918756
1568654723556,0.682347,1.869871,10.927136
1568654723566,0.616507,1.935712,10.840945
1568654723576,0.500388,2.053028,10.708067
1568654723585,0.359130,2.214637,10.632649
1568654723595,0.326809,2.369063,10.414778
1568654723605,0.307655,2.566584,10.222044
